路線去回,中文站點名稱,time
A1去程,臺中國際機場,2
A1去程,新烏日火車站,5
A1去程,永春東七路,2
A1去程,黎明路,6
A1去程,文心路一段,3
A1去程,東興路二段,3
A1去程,忠明南路,4
A1去程,美術館,2
A1回程,美術館,5
A1回程,忠明南路,3
A1回程,東興路二段,6
A1回程,文心路一段,4
A1回程,黎明路,3
A1回程,永春東七路,3
A1回程,新烏日火車站,6
A1回程,臺中國際機場,3
300去程,靜宜大學,6
300去程,晉江寮,4
300去程,弘光科技大學,5
300去程,正英路,6
300去程,坪頂,6
300去程,東海別墅,4
300去程,榮總/東海大學,4
300去程,玉門路,2
300去程,澄清醫院,2
300去程,中港新城,3
300去程,福安,2
300去程,秋紅谷,3
300去程,新光/遠百,4
300去程,市政府,5
300去程,頂何厝,5
300去程,忠明國小,5
300去程,科博館,2
300去程,中正國小,3
300去程,茄苳腳,5
300去程,臺灣大道原子街口,3
300去程,臺灣大道中華路口,4
300去程,仁愛醫院,6
300去程,第二市場(臺灣大道),4
300去程,彰化銀行(臺灣大道),4
300去程,第一廣場,2
300回程,第一廣場,5
300回程,第二市場(臺灣大道),6
300回程,仁愛醫院,2
300回程,臺灣大道中華路口,2
300回程,臺灣大道原子街口,4
300回程,茄苳腳,6
300回程,中正國小,6
300回程,科博館,3
300回程,忠明國小,2
300回程,頂何厝,2
300回程,市政府,5
300回程,新光/遠百,5
300回程,秋紅谷,2
300回程,福安,4
300回程,中港新城,5
300回程,澄清醫院,2
300回程,玉門路,6
300回程,榮總/東海大學,3
300回程,東海別墅,6
300回程,坪頂,4
300回程,正英路,5
300回程,弘光科技大學,3
300回程,晉江寮,5
300回程,靜宜大學,6
301去程,靜宜大學,5
301去程,晉江寮,6
301去程,弘光科技大學,3
301去程,正英路,5
301去程,坪頂,6
301去程,東海別墅,3
301去程,榮總/東海大學,3
301去程,玉門路,5
301去程,澄清醫院,2
301去程,中港新城,5
301去程,福安,6
301去程,秋紅谷,4
301去程,新光/遠百,3
301去程,市政府,4
301去程,頂何厝,4
301去程,忠明國小,3
301去程,科博館,2
301去程,中正國小,5
301去程,茄苳腳,5
301去程,臺灣大道原子街口,5
301去程,臺灣大道中華路口,5
301去程,仁愛醫院,5
301去程,第二市場(臺灣大道),4
301去程,彰化銀行(臺灣大道),5
301去程,第一廣場,4
301去程,干城站,2
301去程,臺中公園(雙十路),4
301去程,中興堂,5
301去程,國立臺中科技大學,4
301去程,中友百貨,4
301去程,市立殯儀館,3
301去程,新民高中(健行路),4
301回程,新民高中(健行路),2
301回程,寶覺寺,2
301回程,新民高中(三民路),3
301回程,一心市場,3
301回程,中友百貨,4
301回程,國立臺中科技大學,2
301回程,中興堂,6
301回程,臺中公園(雙十路),2
301回程,干城站,6
301回程,臺中火車站,2
301回程,第一廣場,3
301回程,彰化銀行(臺灣大道),4
301回程,第二市場(臺灣大道),6
301回程,仁愛醫院,6
301回程,臺灣大道中華路口,4
301回程,臺灣大道原子街口,5
301回程,茄苳腳,4
301回程,中正國小,2
301回程,科博館,5
301回程,忠明國小,4
301回程,頂何厝,5
301回程,市政府,5
301回程,新光/遠百,5
301回程,秋紅谷,5
301回程,福安,2
301回程,中港新城,2
301回程,澄清醫院,3
301回程,玉門路,2
301回程,榮總/東海大學,3
301回程,東海別墅,3
301回程,坪頂,4
301回程,正英路,2
301回程,弘光科技大學,2
301回程,晉江寮,3
301回程,靜宜大學,5
302去程,臺中國際機場,6
302去程,西勢寮,5
302去程,犁份,4
302去程,竹林里,4
302去程,紅竹巷,3
302去程,臺灣大道北勢路口,6
302去程,靜宜大學,5
302去程,晉江寮,2
302去程,弘光科技大學,2
302去程,正英路,6
302去程,坪頂,2
302去程,東海別墅,2
302去程,榮總/東海大學,4
302去程,玉門路,3
302去程,澄清醫院,3
302去程,中港新城,4
302去程,福安,5
302去程,秋紅谷,6
302去程,新光/遠百,5
302去程,市政府,2
302去程,頂何厝,3
302去程,忠明國小,4
302去程,科博館,3
302去程,中正國小,4
302去程,茄苳腳,6
302去程,臺灣大道原子街口,5
302去程,臺灣大道中華路口,2
302去程,仁愛醫院,2
302去程,第二市場(臺灣大道),4
302去程,彰化銀行(臺灣大道),3
302去程,第一廣場,4
302去程,干城站,4
302去程,臺中公園(雙十路),3
302回程,臺中公園(雙十路),3
302回程,干城站,6
302回程,臺中火車站,5
302回程,第一廣場,6
302回程,彰化銀行(臺灣大道),6
302回程,第二市場(臺灣大道),5
302回程,仁愛醫院,2
302回程,臺灣大道中華路口,6
302回程,臺灣大道原子街口,3
302回程,茄苳腳,2
302回程,中正國小,4
302回程,科博館,3
302回程,忠明國小,3
302回程,頂何厝,6
302回程,市政府,6
302回程,新光/遠百,3
302回程,秋紅谷,4
302回程,福安,2
302回程,中港新城,2
302回程,澄清醫院,2
302回程,玉門路,5
302回程,榮總/東海大學,6
302回程,東海別墅,3
302回程,坪頂,4
302回程,正英路,4
302回程,弘光科技大學,3
302回程,晉江寮,4
302回程,靜宜大學,3
302回程,臺灣大道北勢路口,3
302回程,紅竹巷,3
302回程,竹林里,6
302回程,犁份,4
302回程,臺中國際機場,2
303去程,港區藝術中心(鎮政路),5
303去程,清水區公所(鎮政路),3
303去程,清水國中,3
303去程,銀聯二村,2
303去程,社口,2
303去程,鰲峰西社路口,6
303去程,分局前,2
303去程,華南銀行(清水分行),6
303去程,清水高中(中山路),5
303去程,清水火車站(中山路),5
303去程,中山星河路口,2
303去程,鹿峰里,6
303去程,勞工育樂中心,4
303去程,中峰,3
303去程,中山長春路口,3
